ParkName,RecreationVisitors,TentCampers,Backcountry,MiscellaneousOvernightStays,TotalCampers
Prince William Forest Park,"294,916","17,231",373,"49,322",66926
Redwood NP,"458,400","4,747","12,582","4,999",22328
Rio Grande W&SR,263,0,"2,531",0,2531
Rocky Mountain NP,"4,300,424","110,586","34,645",548,145779
Ross Lake NRA,"998,019","62,475","23,759","3,306",89540
Saguaro NP,"908,194",0,"3,706",0,3706
Saint Croix NSR,"833,773",0,"93,453",0,93453
San Francisco Maritime NHP,"3,034,750",0,0,677,677
Sequoia NP,"1,153,198","102,700","31,562",0,134262
Shenandoah NP,"1,449,300","108,384","67,738",198,176320
Sleeping Bear Dunes NL,"1,501,117","60,553","22,703",0,83256
Theodore Roosevelt NP,"668,679","13,441",658,"3,221",17320
Valles Caldera NPRES,"63,738",0,78,"1,046",1124
Virgin Islands NP,"196,752",0,0,"3,711",3711
Voyageurs NP,"221,434",0,"43,566","21,761",65327
Whiskeytown NRA,"1,505,134","7,066",0,"7,778",14844
Wind Cave NP,"607,418","4,865",435,306,5606
Wrangell-St. Elias NP & PRES,"65,236",0,195,"7,224",7419
Yellowstone NP,"3,290,242","10,909","34,758","5,814",51481
Yosemite NP,"3,667,550","349,888","142,457","22,568",514913
Yukon-Charley Rivers NPRES,744,0,"1,225",0,1225
Zion NP,"4,692,417","133,666","10,375","30,234","174,275"
